dataset,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
mnist4,centralized_qproto,5,0.7006833333333334,0.03788136486649991,0.6983913141914323,0.0
mnist4,qproto_full,5,0.7044750000000001,0.03757300589140503,0.7016911212164167,4632.0
mnist4,qproto_hop,5,0.709375,0.05415535073286849,0.7073151523824278,4628.0
mnist4,qproto_proto,5,0.70875,0.05435286079979801,0.7066950417236292,3092.0
mnist4,no_schema,5,0.4409583333333333,0.029334558071969948,0.43715484385091097,3092.0
mnist4,forced_canonical,5,0.43740833333333334,0.03896350430504023,0.4337513729215459,3092.0
mnist4,wrong_schema,5,0.2795666666666667,0.02294739215403596,0.27823020404311427,4628.0
mnist4,fedavg_forced,5,0.3742666666666667,0.0781073422690708,0.36772241451330967,3088.0
mnist4,fedprox_forced,5,0.37405000000000005,0.07864358951409979,0.3675051462152679,3088.0
mnist4,local_only,5,0.737775,0.03736299393003122,0.7350341963512568,0.0
mnist4,classical_kernel,5,0.6709999999999999,0.025701955792420843,0.6668588684698441,3092.0
fashion4,centralized_qproto,5,0.7342916666666667,0.04733349372425872,0.7342621129627924,0.0
fashion4,qproto_full,5,0.7337666666666667,0.0466070878401319,0.7336499153736767,4632.0
fashion4,qproto_hop,5,0.7459000000000001,0.03737922913276838,0.7458924671658206,4628.0
fashion4,qproto_proto,5,0.7452666666666666,0.037547733928279724,0.7452547718895239,3092.0
fashion4,no_schema,5,0.4305833333333333,0.023738987755963267,0.43004199546903327,3092.0
fashion4,forced_canonical,5,0.4292916666666667,0.021634212445671454,0.42849053284047706,3092.0
fashion4,wrong_schema,5,0.2990333333333333,0.02688092835628176,0.29806660927478457,4628.0
fashion4,fedavg_forced,5,0.335775,0.0635070632563724,0.3388963513428155,3088.0
fashion4,fedprox_forced,5,0.33516666666666667,0.06398448537028333,0.3383054203191392,3088.0
fashion4,local_only,5,0.7344166666666666,0.03833136441943533,0.7344984995975007,0.0
fashion4,classical_kernel,5,0.6635,0.017240154497889865,0.6630168092682686,3092.0
cifar4,centralized_qproto,5,0.488725,0.045342551947909676,0.48907407027448846,0.0
cifar4,qproto_full,5,0.484175,0.040438237873961703,0.4842430029303583,4632.0
cifar4,qproto_hop,5,0.485875,0.05208981266268219,0.4854632985226523,4628.0
cifar4,qproto_proto,5,0.48557500000000003,0.05208618337883223,0.4851608261749384,3092.0
cifar4,no_schema,5,0.33891666666666664,0.01706685085968312,0.3388364139211452,3092.0
cifar4,forced_canonical,5,0.33876666666666666,0.01909588358358358,0.33866323748989724,3092.0
cifar4,wrong_schema,5,0.26791666666666664,0.014614656122840828,0.2672073243356836,4628.0
cifar4,fedavg_forced,5,0.29814999999999997,0.045699365722853415,0.29892372692221425,3088.0
cifar4,fedprox_forced,5,0.29834166666666667,0.045833424210649336,0.2990707704160145,3088.0
cifar4,local_only,5,0.5330916666666666,0.022148381764464112,0.5329928429977802,0.0
cifar4,classical_kernel,5,0.4111666666666667,0.009666301464365794,0.41115876397105283,3092.0
cifar4,centralized_kernel,5,0.41233333333333333,0.009408187592611982,0.41228976909752885,0.0

